district,fiscal_year,auditor,report_date,opinion_type,certified_enrollment,gf_revenue,gf_expenditure,gf_total_fund_balance,gf_unassigned,gf_assigned,aea_flowthrough,solvency_ratio_pct,operating_margin_pct,salaries_benefits,salary_benefit_pct_gf,cash_and_investments,go_debt_outstanding,save_rev_bonds,lease_sbita,capital_additions,depreciation,construction_in_progress,save_revenue,unrestricted_net_position,ipers_npl,opeb_liability,findings_count,material_weakness,significant_deficiency,repeat_finding,single_audit_findings,gfoa_cert,confidence,notes,debt_per_pupil,gf_rev_per_pupil
Waterloo CSD,2023,BerganKDV Ltd.,2023-11-22,unmodified,10672,159792553,159641560,35547899,31718094,1230992,5741971,21.39,0.09,,,84214043,0,76396539,,19908546,6471489,29484537,14611671,-14930634,39509285,12809007,3,Y,N,N,no federal award findings; enrollment count error (over by 2.5 students); SAVE fund deficit $328974,Y,High,"Single audit included in file; Section II material weakness (retainage adjustment) = 1; Section IV enrollment finding IV-H and deficit fund IV-O = 2; total 3 findings; capital_additions = land $40,000 + CIP increases $17,193,929 + depreciable $2,674,617 = $19,908,546; GASB 96 adopted this year (SBITA); right-to-use $243,000 asset added; SBITA liability not separately listed in long-term debt table for FY2023 (appears in FY2024); repeat_finding=N (MW not same issue as 2021)",7159,14973
Waterloo CSD,2024,BerganKDV Ltd.,2024-11-11,unmodified,10732,146750928,169465652,13495379,8285953,1230992,5826481,6.75,-15.48,,,60459745,0,71251539,187266,17131275,7635176,34498892,14059279,-34092828,45778099,15374838,,,,,separately issued compliance report - findings not in file,Y,High,"Single audit findings not in ACFR file (separately issued); SBITA payable $187,266 (finance software Aug 2023); capital_additions = land $2,079,864 + CIP $9,616,795 + depreciable $5,434,616 = $17,131,275; total OPEB = governmental activities $15,374,838 ($482,600 current + $14,892,238 non-current); NPL = governmental activities $45,778,099; enrollment from building table = 10,732; SAVE revenue from notes $14,059,279; GF revenue fell due to ESSER/ARP federal funds expiring",6639,13674
Waterloo CSD,2025,BerganKDV Ltd.,2025-11-14,unmodified,10812,152946677,173706041,-6803307,-8325333,0,4943031,-5.62,-13.57,,,129446271,0,153251539,100633,54740174,8267678,15909340,14194731,-45513271,36603698,15054240,,,,,separately issued compliance report - findings not in file,N,High,"GFOA cert not mentioned in 2025 ACFR (ASBO Certificate of Excellence cited instead); SBITA payable $100,633 remaining; GF total fund balance negative (-$6.8M); large bond issuance $87.22M in FY2025; revenue bonds jumped to $153.25M (major building campaign); capital_additions = land $88,500 + CIP $17,323,610 + depreciable $37,328,064 = $54,740,174; no GF Assigned balance; NPL = governmental activities $36,603,698; total OPEB governmental activities $15,054,240; solvency ratio negative - district in structural deficit",14174,14146
Waukee CSD,2020,Bohnsack & Frommelt LLP,2020-11-11,unmodified,11701,122584934,123675598,17223150,16085853,0,5225897,13.71,-0.89,,,171289828,153765000,96885000,,91168372,7064925,102739812,11585543,-22010656,53117765,3318943,2,N,Y,N,No single audit findings; 2 IC significant deficiencies (2020-001 payroll seg of duties; 2020-002 receipts seg of duties),Y,High,GF Assigned=$0 (no assigned/committed line in 2020 GF balance sheet; only restricted $1137297 and unassigned). Solvency uses unassigned only. Capital additions = gross Note 5 governmental additions (CIP $68.2M + depreciable $22.9M). GO bonds face value $153.765M; revenue bonds face value $96.885M (SAVE bonds). IPERS NPL measured at June 30 2019 per note. Unrestricted NP for governmental activities only = ($22010656). Enrollment source: MD&A states 11701 for FY2019-20. salaries_benefits not presented by object in GF statements.,21421,10476
Waukee CSD,2021,Bohnsack & Frommelt LLP,2021-11-16,unmodified,11994,133363511,132262434,18603050,13250404,3908600,5620018,13.43,0.83,,,196446921,222550000,89415000,,77683083,7087107,171118877,11667162,-31587902,67530758,3350744,0,N,N,Y,No single audit findings; no IC deficiencies reported,Y,High,GF Assigned=$3908600 per committed line on GF balance sheet (2021 adopted Committed classification). Solvency uses committed+unassigned. Capital additions = Note 5: CIP $68.9M + land $3.6M + depreciable $5.2M = $77.7M. GO bonds face value $222.550M (includes $84.29M Series 2020B issued Nov 2020; recorded in FY2021 LTD schedule beg balance). Revenue bonds face value $89.415M. IPERS NPL measured at June 30 2020. Unrestricted NP govtal activities = ($31587902). FY2020 sig deficiency 2020-001 and 2020-002 were to be corrected by FY2021 - status shown as corrected per next year CAP; repeat_finding=Y for enrollment finding IV-H-21 (repeat of IV-G-20).,26010,11119
Waukee CSD,2022,Bohnsack & Frommelt LLP,2022-12-05,unmodified,12470,142894048,144288273,17180128,11101992,4601587,5919633,11.46,-0.98,,,204223383,267730000,83490000,279315,212724153,12962194,60251144,14401355,-12926214,1426630,3239985,1,N,N,Y,Federal single audit finding 2022-001: Child Nutrition Cluster indirect cost methodology (questioned costs $151885; not repeat); no IC deficiencies,Y,High,GF Assigned=$4601587 per committed line. Capital additions = Note 5: land $948902 + CIP $42738625 + depreciable $169036626 = $212724153 (very large due to new NW High School opening with $159.8M building additions transferred from CIP). GO bonds face value $267.730M. Revenue bonds face value $83.490M. Lease payable (GASB 87 equipment lease) = $279315 at June 30 2022; GASB 87 implemented this year with restatement. IPERS NPL dropped to $1426630 due to improved IPERS funding. Repeat finding = Y for enrollment variances (IV-H-22 repeat of IV-H-21). Report dated Dec 5 2022 (primary opinion); table of contents lists Dec 12 2022 - used Dec 5 per actual audit report signature page.,28165,11459
Waukee CSD,2023,Bohnsack & Frommelt LLP,2023-11-27,unmodified,12616,158721023,156425252,19331625,12663946,4979059,6374798,11.58,1.45,,,214618027,313995000,77275000,211917,90613379,14249185,96183240,17166447,-2743309,41747309,3405209,0,N,N,Y,No federal single audit findings; no IC deficiencies,Y,High,GF Assigned=$4979059 per committed line. Capital additions = Note 5: CIP $59385977 + depreciable $31227402 = $90613379. GO bonds face value $313.995M. Revenue bonds face value $77.275M. lease_sbita = equipment lease $142446 + IT subscription liability $69871 = $211917 at June 30 2023. IPERS NPL = $41747309 (measured at June 30 2022). Unrestricted NP = ($2743309). Repeat finding = Y for enrollment variances (IV-H-23 repeat of IV-H-22). SAVE revenue from CAR = $17166447.,31014,12581
Waukee CSD,2024,Bohnsack & Frommelt LLP,2024-11-19,unmodified,13674,176202591,167859342,27671884,20173838,5958793,6915402,15.44,4.74,,,153202159,297145000,70840000,468058,141567436,16991183,115010728,17328444,11315092,49072954,7098660,0,N,N,Y,No federal single audit findings; no IC deficiencies (full Uniform Guidance audit conducted),Y,High,GF Assigned=$5958793 per committed line. Capital additions = Note 5: land $498361 + CIP $70125541 + depreciable $70943534 = $141567436. GO bonds face value $297.145M. Revenue bonds face value $70.840M. lease_sbita = IT subscription liability only $468058 (equipment lease paid off in FY2024; no GASB 96 SBITA separate). IPERS NPL = $49072954. Unrestricted NP govtal activities = $11315092 (positive for first time). OPEB switched to total OPEB liability presentation = $7098660. Repeat finding = Y for enrollment variances (IV-H-24 repeat). SAVE revenue = $17328444. Cash/investments = GF only $44544823 per balance sheet.,26911,12886
Waukee CSD,2025,Bohnsack & Frommelt LLP,2025-11-17,unmodified,14016,188235898,182018327,33976978,28198287,4437283,5421634,17.85,3.30,,,138226606,323690000,64155000,378043,157037489,19821646,98309703,18086486,23071290,40774255,5339865,1,N,N,Y,No Uniform Guidance/Single Audit section in FY2025 report (no SEFA or major federal program compliance testing); one statutory finding II-A-25 (budget overexpenditure in support services $2937964),Y,High,GF Assigned=$4437283 per committed line. Capital additions = Note 5: land $13811170 + CIP $55083036 + depreciable $88143283 = $157037489. GO bonds face value $323.690M. Revenue bonds face value $64.155M. lease_sbita = IT subscription liability $378043 (GASB 96 SBITA). Equipment lease fully amortized and retired in FY2025. IPERS NPL = $40774255 (measured at June 30 2024). Unrestricted NP govtal activities = $23071290. OPEB total liability = $5339865. findings_count=1 (statutory budget finding only; no IC or federal). Repeat finding = Y for enrollment variances (II-H-25 repeat pattern). No single audit conducted in FY2025 (no SEFA or Uniform Guidance report in document). SAVE revenue = $18086486.,27672,13430
West Des Moines CSD,2020,Bohnsack & Frommelt LLP,2020-11-23,unmodified,8989,116944641,114446448,17864713,10924314,0,4026872,9.67,2.14,,,50465985,5245000,32465000,,22186759,9236009,5988514,9263381,-40024716,49153935,16994968,3,N,N,Y,Single audit; unmodified compliance; no federal findings (ESSER/Child Nutrition audited),Y,High,GF Assigned=0; Committed=$4598506 not included in solvency ratio; salary_benefit blank (not separately shown in GF statement); lease_sbita blank (GASB 87 not yet adopted FY2020); GO debt=Series 2016 capital loan notes principal $5245000 (fully paid May 2021); SAVE bonds=Series 2012+2013+2014 principal totaling $32465000; capital_additions=total gross additions to governmental capital assets per note (CIP $12111050+depreciable $10075709); repeat_finding=Y (IV-G-19 and IV-H-19 enrollment/weighting carried to IV-G-20 and IV-H-20; IV-A-19 budget also carried); cash_and_investments=total governmental funds balance sheet,4195,13010
West Des Moines CSD,2021,Bohnsack & Frommelt LLP,2021-11-18,unmodified,8820,125554087,121227543,21127008,13007006,0,4153136,10.71,3.45,,,101459291,49735000,30525000,,18296714,9604225,5016598,8973645,-40284923,59529698,19038039,2,N,N,Y,Single audit conducted; no IC or federal findings in findings schedule; 2 statutory findings only,Y,High,GF Assigned=0; Committed=$5189067 not in solvency; salary_benefit blank; lease_sbita blank (GASB 87 not yet adopted); GO debt=Series 2020A capital loan notes principal $49735000; SAVE bonds=Series 2012+2013+2014 principal ($10000000+$6065000+$14460000=$30525000); capital_additions=governmental activities (CIP additions $8662399+depreciable $9634315=$18296714; note: depreciable additions equal CIP retirements so net new spending primarily CIP); repeat_finding=Y (enrollment/weighting findings from 2020 carried to II-H-21 and II-I-21); cash_and_investments=fund balance sheet total ($101459291 cash + $7570467 restricted debt service=$109029758 but restricted listed separately; using non-restricted total),9100,14235
West Des Moines CSD,2022,Bohnsack & Frommelt LLP,2022-11-30,unmodified,8775,129114481,121676880,28473332,20326637,0,4187910,16.27,5.76,,,86599618,45605000,27530000,531690,40665574,10179597,28552759,10645258,-24575887,367737,16194385,3,N,N,Y,Single audit; unmodified compliance; no federal findings,Y,High,GF Assigned=0; Committed=$5266678 not in solvency; salary_benefit blank; GO debt=Series 2020A capital loan notes principal $45605000; SAVE bonds=Series 2012+2013+2014 principal ($9000000+$5470000+$13060000=$27530000); lease_sbita=GASB 87 equipment lease obligation $531690 (first year); capital_additions=governmental activities gross (CIP $31916216+depreciable $8749358=$40665574); repeat_finding=Y (enrollment/weighting findings recur); IPERS NPL dropped dramatically ($60M to $0.4M governmental) reflecting IPERS funded status improvement; cash_and_investments=total governmental fund balance sheet,8334,14714
West Des Moines CSD,2023,Bohnsack & Frommelt LLP,2023-11-29,unmodified,8679,132142293,128230859,32457077,24913216,0,4250479,19.48,2.96,,,57471149,41265000,24460000,432489,73627400,11252565,88712611,12019830,-35645762,30961013,17122825,3,N,N,Y,Single audit; unmodified compliance; no federal findings,Y,High,GF Assigned=0; Committed=$4269646 not in solvency; salary_benefit blank; GO debt=Series 2020A capital loan notes principal $41265000; SAVE bonds=Series 2012+2013+2014 principal ($7980000+$4860000+$11620000=$24460000); lease_sbita=equipment lease $361465+IT subscription $71024=$432489 (GASB 96 adopted); capital_additions=governmental activities gross (CIP $65095690+depreciable $8531710=$73627400; major CIP buildup for school construction); repeat_finding=Y (enrollment/weighting findings recur each year); cash_and_investments=fund statement total ($57471149 unrestricted + $7780630 restricted=$65251779; using unrestricted only),7573,15226
West Des Moines CSD,2024,Bohnsack & Frommelt LLP,2024-11-25,unmodified,8614,127907219,133545565,27185382,19754866,0,4260853,15.98,-4.41,,,80645565,45745000,66795000,403854,130404754,12690374,51676,11432855,-14377871,36686725,5391611,3,N,N,Y,Single audit; unmodified compliance; no federal findings,Y,High,GF Assigned=0; Committed=$5065213 not in solvency; salary_benefit blank; GO debt=Series 2020A $36710000+Series 2023 $9035000=$45745000; SAVE bonds=Series 2012 $6935000+Series 2013 $4230000+Series 2014 $10130000+Series 2023 $45500000=$66795000 (Series 2023 revenue bonds issued for major capital program); lease_sbita=equipment lease $184328+IT subscription $219526=$403854; capital_additions=governmental activities gross (CIP $20253971+depreciable $110150783=$130404754; major building completion transferred from CIP); repeat_finding=Y (enrollment/weighting recur); OPEB dropped from $17.1M to $5.4M due to actuarial assumption changes; cash_and_investments includes restricted $12299061,13065,14849
West Des Moines CSD,2025,Bohnsack & Frommelt LLP,2025-11-19,unmodified,8526,125664099,132035909,21493000,13955432,0,3488438,11.42,-5.07,,,75738641,40105000,62550000,1172693,13083822,14904359,1171722,11393931,-25521180,29644060,5037546,2,N,N,Y,Single audit; unmodified compliance; no federal findings,Y,High,GF Assigned=0; Committed=$5234258 not in solvency; salary_benefit blank; GO debt=Series 2020A $31925000+Series 2023 $8180000=$40105000; SAVE bonds=Series 2012 $5860000+Series 2013 $3580000+Series 2014 $8590000+Series 2023 $44520000=$62550000; lease_sbita=equipment lease $559348+IT subscription $613345=$1172693; capital_additions=governmental activities gross (CIP $4101586+depreciable $8982236=$13083822; post-construction wind-down year); repeat_finding=Y (enrollment/weighting findings recur all 6 years); report_date=November 19 2025 per auditor signature (November 30 is transmittal letter); AEA flow-through dropped $772k reflecting state AEA funding restructuring effective July 2024,12040,14739
